ID_Number,Common_Name,Genus,Species,Family,Block,Light,Treatment,Date,Fvm,,,PhEf_073019
401,BlackAsh,F.,nigra,Oleacea,2,Shade,Control,5/26/2019,0.847,,,
402,BlackAsh,F.,nigra,Oleacea,5,Sun,MeJA,5/26/2019,0.432,,,
403,BlackAsh,F.,nigra,Oleacea,3,Shade,Control,5/26/2019,0.8395,,,
404,BlackAsh,F.,nigra,Oleacea,2,Shade,MeJA,5/26/2019,0.7685,,,
405,BlackAsh,F.,nigra,Oleacea,4,Sun,MeJA,5/26/2019,0.478,,,
406,BlackAsh,F.,nigra,Oleacea,7,Shade,Control,5/26/2019,0.82,,,
407,BlackAsh,F.,nigra,Oleacea,1,Sun,MeJA,5/26/2019,0.337,,,
408,BlackAsh,F.,nigra,Oleacea,5,Sun,Control,5/26/2019,0.536,,,
409,BlackAsh,F.,nigra,Oleacea,3,Shade,MeJA,5/26/2019,0.8025,,,
410,BlackAsh,F.,nigra,Oleacea,6,Shade,MeJA,5/26/2019,0.767,,,
411,BlackAsh,F.,nigra,Oleacea,7,Shade,MeJA,5/26/2019,0.834,,,
412,BlackAsh,F.,nigra,Oleacea,5,Sun,Control,5/26/2019,0.4765,,,
413,BlackAsh,F.,nigra,Oleacea,1,Sun,Control,5/26/2019,0.479,,,
414,BlackAsh,F.,nigra,Oleacea,8,Sun,Control,5/26/2019,0,,,
415,BlackAsh,F.,nigra,Oleacea,8,Sun,MeJA,5/26/2019,0.2385,,,
416,BlackAsh,F.,nigra,Oleacea,6,Shade,MeJA,5/26/2019,0.719,,,
417,BlackAsh,F.,nigra,Oleacea,1,Sun,Control,5/26/2019,0.4705,,,
418,BlackAsh,F.,nigra,Oleacea,6,Shade,Control,5/26/2019,0.702,,,
419,BlackAsh,F.,nigra,Oleacea,8,Sun,Control,5/26/2019,0.467,,,
420,BlackAsh,F.,nigra,Oleacea,7,Shade,MeJA,5/26/2019,0.792,,,
421,BlackAsh,F.,nigra,Oleacea,6,Shade,Control,5/26/2019,0.867,,,
422,BlackAsh,F.,nigra,Oleacea,3,Shade,Control,5/26/2019,0.7215,,,
423,BlackAsh,F.,nigra,Oleacea,2,Shade,Control,5/26/2019,0.7285,,,
424,BlackAsh,F.,nigra,Oleacea,4,Sun,MeJA,5/26/2019,0.6675,,,
425,BlackAsh,F.,nigra,Oleacea,3,Shade,MeJA,5/26/2019,0.769,,,
426,BlackAsh,F.,nigra,Oleacea,2,Shade,MeJA,5/26/2019,NA,,,
427,BlackAsh,F.,nigra,Oleacea,1,Sun,MeJA,5/26/2019,0.8035,,,
428,BlackAsh,F.,nigra,Oleacea,8,Sun,MeJA,5/26/2019,0.5205,,,
429,BlackAsh,F.,nigra,Oleacea,4,Sun,Control,5/26/2019,NA,,,
430,BlackAsh,F.,nigra,Oleacea,5,Sun,MeJA,5/26/2019,0.7105,,,
431,BlackAsh,F.,nigra,Oleacea,7,Shade,Control,5/26/2019,0.865,,,
432,BlackAsh,F.,nigra,Oleacea,4,Sun,Control,5/26/2019,NA,,,
433,WhiteFringeTree,C.,virginicus,Oleacea,2,Shade,Control,5/26/2019,0.7845,,,
434,WhiteFringeTree,C.,virginicus,Oleacea,5,Sun,Control,5/26/2019,0.7935,,,
435,WhiteFringeTree,C.,virginicus,Oleacea,6,Shade,MeJA,5/26/2019,NA,,,
436,WhiteFringeTree,C.,virginicus,Oleacea,6,Shade,Control,5/26/2019,0.8025,,,
437,WhiteFringeTree,C.,virginicus,Oleacea,2,Shade,MeJA,5/26/2019,0.788,,,
438,WhiteFringeTree,C.,virginicus,Oleacea,3,Shade,MeJA,5/26/2019,0.478,,,
439,WhiteFringeTree,C.,virginicus,Oleacea,1,Sun,MeJA,5/26/2019,0.433,,,
440,WhiteFringeTree,C.,virginicus,Oleacea,3,Shade,MeJA,5/26/2019,0.695,,,
441,WhiteFringeTree,C.,virginicus,Oleacea,7,Shade,MeJA,5/26/2019,0.901,,,
442,WhiteFringeTree,C.,virginicus,Oleacea,8,Sun,MeJA,5/26/2019,0.506,,,
443,WhiteFringeTree,C.,virginicus,Oleacea,4,Sun,MeJA,5/26/2019,0.4765,,,
444,WhiteFringeTree,C.,virginicus,Oleacea,3,Shade,Control,5/26/2019,0.693,,,
445,WhiteFringeTree,C.,virginicus,Oleacea,7,Shade,Control,5/26/2019,0.7795,,,
447,WhiteFringeTree,C.,virginicus,Oleacea,7,Shade,Control,5/26/2019,0.6695,,,
448,WhiteFringeTree,C.,virginicus,Oleacea,1,Sun,Control,5/26/2019,NA,,,
449,WhiteFringeTree,C.,virginicus,Oleacea,1,Sun,MeJA,5/26/2019,0.4165,,,
450,WhiteFringeTree,C.,virginicus,Oleacea,8,Sun,MeJA,5/26/2019,NA,,,
451,WhiteFringeTree,C.,virginicus,Oleacea,4,Sun,Control,5/26/2019,0.5345,,,
452,WhiteFringeTree,C.,virginicus,Oleacea,7,Shade,MeJA,5/26/2019,0.762,,,
454,WhiteFringeTree,C.,virginicus,Oleacea,6,Shade,MeJA,5/26/2019,0.502,,,
455,WhiteFringeTree,C.,virginicus,Oleacea,5,Sun,MeJA,5/26/2019,0.6385,,,
456,WhiteFringeTree,C.,virginicus,Oleacea,3,Shade,Control,5/26/2019,0.7075,,,
457,WhiteFringeTree,C.,virginicus,Oleacea,8,Sun,Control,5/26/2019,0.6445,,,
458,WhiteFringeTree,C.,virginicus,Oleacea,5,Sun,MeJA,5/26/2019,0.597,,,
459,WhiteFringeTree,C.,virginicus,Oleacea,2,Shade,Control,5/26/2019,0.784,,,
460,WhiteFringeTree,C.,virginicus,Oleacea,1,Sun,Control,5/26/2019,0.3755,,,
461,WhiteFringeTree,C.,virginicus,Oleacea,5,Sun,Control,5/26/2019,0.676,,,
462,WhiteFringeTree,C.,virginicus,Oleacea,8,Sun,Control,5/26/2019,0.33,,,
401,BlackAsh,F.,nigra,Oleacea,2,Shade,Control,6/25/2019,0.7665,,,
402,BlackAsh,F.,nigra,Oleacea,5,Sun,MeJA,6/25/2019,0.442,,,
403,BlackAsh,F.,nigra,Oleacea,3,Shade,Control,6/25/2019,0.7885,,,
404,BlackAsh,F.,nigra,Oleacea,2,Shade,MeJA,6/25/2019,0.7795,,,
405,BlackAsh,F.,nigra,Oleacea,4,Sun,MeJA,6/25/2019,0.562,,,
406,BlackAsh,F.,nigra,Oleacea,7,Shade,Control,6/25/2019,0.82,,,
407,BlackAsh,F.,nigra,Oleacea,1,Sun,MeJA,6/25/2019,0.686,,,
408,BlackAsh,F.,nigra,Oleacea,5,Sun,Control,6/25/2019,0.6035,,,
409,BlackAsh,F.,nigra,Oleacea,3,Shade,MeJA,6/25/2019,0.865,,,
410,BlackAsh,F.,nigra,Oleacea,6,Shade,MeJA,6/25/2019,0.726,,,
411,BlackAsh,F.,nigra,Oleacea,7,Shade,MeJA,6/25/2019,0.777,,,
412,BlackAsh,F.,nigra,Oleacea,5,Sun,Control,6/25/2019,0.564,,,
413,BlackAsh,F.,nigra,Oleacea,1,Sun,Control,6/25/2019,0.725,,,
414,BlackAsh,F.,nigra,Oleacea,8,Sun,Control,6/25/2019,0.6075,,,
415,BlackAsh,F.,nigra,Oleacea,8,Sun,MeJA,6/25/2019,0.534,,,
416,BlackAsh,F.,nigra,Oleacea,6,Shade,MeJA,6/25/2019,0.857,,,
417,BlackAsh,F.,nigra,Oleacea,1,Sun,Control,6/25/2019,0.672,,,
418,BlackAsh,F.,nigra,Oleacea,6,Shade,Control,6/25/2019,0.735,,,
419,BlackAsh,F.,nigra,Oleacea,8,Sun,Control,6/25/2019,0.662,,,
420,BlackAsh,F.,nigra,Oleacea,7,Shade,MeJA,6/25/2019,0.637,,,
421,BlackAsh,F.,nigra,Oleacea,6,Shade,Control,6/25/2019,0.8565,,,
422,BlackAsh,F.,nigra,Oleacea,3,Shade,Control,6/25/2019,0.942,,,
423,BlackAsh,F.,nigra,Oleacea,2,Shade,Control,6/25/2019,0.8365,,,
424,BlackAsh,F.,nigra,Oleacea,4,Sun,MeJA,6/25/2019,0.525,,,
425,BlackAsh,F.,nigra,Oleacea,3,Shade,MeJA,6/25/2019,0.7645,,,
426,BlackAsh,F.,nigra,Oleacea,2,Shade,MeJA,6/25/2019,0.787,,,
427,BlackAsh,F.,nigra,Oleacea,1,Sun,MeJA,6/25/2019,0.653,,,
428,BlackAsh,F.,nigra,Oleacea,8,Sun,MeJA,6/25/2019,0.59,,,
429,BlackAsh,F.,nigra,Oleacea,4,Sun,Control,6/25/2019,0.7025,,,
430,BlackAsh,F.,nigra,Oleacea,5,Sun,MeJA,6/25/2019,0.4705,,,
431,BlackAsh,F.,nigra,Oleacea,7,Shade,Control,6/25/2019,0.827,,,
432,BlackAsh,F.,nigra,Oleacea,4,Sun,Control,6/25/2019,0.656,,,
433,WhiteFringeTree,C.,virginicus,Oleacea,2,Shade,Control,6/25/2019,0.855,,,
434,WhiteFringeTree,C.,virginicus,Oleacea,5,Sun,Control,6/25/2019,0.529,,,
435,WhiteFringeTree,C.,virginicus,Oleacea,6,Shade,MeJA,6/25/2019,0.7975,,,
436,WhiteFringeTree,C.,virginicus,Oleacea,6,Shade,Control,6/25/2019,0.8055,,,
437,WhiteFringeTree,C.,virginicus,Oleacea,2,Shade,MeJA,6/25/2019,0.8085,,,
438,WhiteFringeTree,C.,virginicus,Oleacea,3,Shade,MeJA,6/25/2019,0.849,,,
439,WhiteFringeTree,C.,virginicus,Oleacea,1,Sun,MeJA,6/25/2019,0.7105,,,
440,WhiteFringeTree,C.,virginicus,Oleacea,3,Shade,MeJA,6/25/2019,0.806,,,
441,WhiteFringeTree,C.,virginicus,Oleacea,7,Shade,MeJA,6/25/2019,0.809,,,
442,WhiteFringeTree,C.,virginicus,Oleacea,8,Sun,MeJA,6/25/2019,0.58,,,
443,WhiteFringeTree,C.,virginicus,Oleacea,4,Sun,MeJA,6/25/2019,0.6925,,,
444,WhiteFringeTree,C.,virginicus,Oleacea,3,Shade,Control,6/25/2019,0.8635,,,
445,WhiteFringeTree,C.,virginicus,Oleacea,7,Shade,Control,6/25/2019,0.8285,,,
447,WhiteFringeTree,C.,virginicus,Oleacea,7,Shade,Control,6/25/2019,0.8715,,,
448,WhiteFringeTree,C.,virginicus,Oleacea,1,Sun,Control,6/25/2019,0.624,,,
449,WhiteFringeTree,C.,virginicus,Oleacea,1,Sun,MeJA,6/25/2019,NA,,,
450,WhiteFringeTree,C.,virginicus,Oleacea,8,Sun,MeJA,6/25/2019,0.5215,,,
451,WhiteFringeTree,C.,virginicus,Oleacea,4,Sun,Control,6/25/2019,0.79,,,
452,WhiteFringeTree,C.,virginicus,Oleacea,7,Shade,MeJA,6/25/2019,0.8055,,,
454,WhiteFringeTree,C.,virginicus,Oleacea,6,Shade,MeJA,6/25/2019,0.8705,,,
455,WhiteFringeTree,C.,virginicus,Oleacea,5,Sun,MeJA,6/25/2019,0.501,,,
456,WhiteFringeTree,C.,virginicus,Oleacea,3,Shade,Control,6/25/2019,0.9015,,,
457,WhiteFringeTree,C.,virginicus,Oleacea,8,Sun,Control,6/25/2019,0.7493,,,
458,WhiteFringeTree,C.,virginicus,Oleacea,5,Sun,MeJA,6/25/2019,0.388,,,
459,WhiteFringeTree,C.,virginicus,Oleacea,2,Shade,Control,6/25/2019,0.7715,,,
460,WhiteFringeTree,C.,virginicus,Oleacea,1,Sun,Control,6/25/2019,0.5335,,,
461,WhiteFringeTree,C.,virginicus,Oleacea,5,Sun,Control,6/25/2019,0.652,,,
462,WhiteFringeTree,C.,virginicus,Oleacea,8,Sun,Control,6/25/2019,0.35,,,
401,BlackAsh,F.,nigra,Oleacea,2,Shade,Control,7/30/2019,0.7889,,,
402,BlackAsh,F.,nigra,Oleacea,5,Sun,MeJA,7/30/2019,0.452,,,
403,BlackAsh,F.,nigra,Oleacea,3,Shade,Control,7/30/2019,0.777,,,
404,BlackAsh,F.,nigra,Oleacea,2,Shade,MeJA,7/30/2019,0.7876,,,
405,BlackAsh,F.,nigra,Oleacea,4,Sun,MeJA,7/30/2019,0.5421,,,
406,BlackAsh,F.,nigra,Oleacea,7,Shade,Control,7/30/2019,0.7901,,,
407,BlackAsh,F.,nigra,Oleacea,1,Sun,MeJA,7/30/2019,0.652,,,
408,BlackAsh,F.,nigra,Oleacea,5,Sun,Control,7/30/2019,0.611,,,
409,BlackAsh,F.,nigra,Oleacea,3,Shade,MeJA,7/30/2019,0.854,,,
410,BlackAsh,F.,nigra,Oleacea,6,Shade,MeJA,7/30/2019,0.726,,,
411,BlackAsh,F.,nigra,Oleacea,7,Shade,MeJA,7/30/2019,0.777,,,
412,BlackAsh,F.,nigra,Oleacea,5,Sun,Control,7/30/2019,0.556,,,
413,BlackAsh,F.,nigra,Oleacea,1,Sun,Control,7/30/2019,0.623,,,
414,BlackAsh,F.,nigra,Oleacea,8,Sun,Control,7/30/2019,0.6025,,,
415,BlackAsh,F.,nigra,Oleacea,8,Sun,MeJA,7/30/2019,0.5124,,,
416,BlackAsh,F.,nigra,Oleacea,6,Shade,MeJA,7/30/2019,0.857,,,
417,BlackAsh,F.,nigra,Oleacea,1,Sun,Control,7/30/2019,NA,,,
418,BlackAsh,F.,nigra,Oleacea,6,Shade,Control,7/30/2019,0.725,,,
419,BlackAsh,F.,nigra,Oleacea,8,Sun,Control,7/30/2019,0.601,,,
420,BlackAsh,F.,nigra,Oleacea,7,Shade,MeJA,7/30/2019,0.623,,,
421,BlackAsh,F.,nigra,Oleacea,6,Shade,Control,7/30/2019,0,,,
422,BlackAsh,F.,nigra,Oleacea,3,Shade,Control,7/30/2019,0.92,,,
423,BlackAsh,F.,nigra,Oleacea,2,Shade,Control,7/30/2019,0.825,,,
424,BlackAsh,F.,nigra,Oleacea,4,Sun,MeJA,7/30/2019,0.565,,,
425,BlackAsh,F.,nigra,Oleacea,3,Shade,MeJA,7/30/2019,0.745,,,
426,BlackAsh,F.,nigra,Oleacea,2,Shade,MeJA,7/30/2019,0.78,,,
427,BlackAsh,F.,nigra,Oleacea,1,Sun,MeJA,7/30/2019,0.75,,,
428,BlackAsh,F.,nigra,Oleacea,8,Sun,MeJA,7/30/2019,0.564,,,
429,BlackAsh,F.,nigra,Oleacea,4,Sun,Control,7/30/2019,0.701,,,
430,BlackAsh,F.,nigra,Oleacea,5,Sun,MeJA,7/30/2019,0.4705,,,
431,BlackAsh,F.,nigra,Oleacea,7,Shade,Control,7/30/2019,0.846,,,
432,BlackAsh,F.,nigra,Oleacea,4,Sun,Control,7/30/2019,0.666,,,
433,WhiteFringeTree,C.,virginicus,Oleacea,2,Shade,Control,7/30/2019,0.798,,,
434,WhiteFringeTree,C.,virginicus,Oleacea,5,Sun,Control,7/30/2019,0.652,,,
435,WhiteFringeTree,C.,virginicus,Oleacea,6,Shade,MeJA,7/30/2019,0.823,,,
436,WhiteFringeTree,C.,virginicus,Oleacea,6,Shade,Control,7/30/2019,0.82,,,
437,WhiteFringeTree,C.,virginicus,Oleacea,2,Shade,MeJA,7/30/2019,0.792,,,
438,WhiteFringeTree,C.,virginicus,Oleacea,3,Shade,MeJA,7/30/2019,0.753,,,
439,WhiteFringeTree,C.,virginicus,Oleacea,1,Sun,MeJA,7/30/2019,0.652,,,
440,WhiteFringeTree,C.,virginicus,Oleacea,3,Shade,MeJA,7/30/2019,0.812,,,
441,WhiteFringeTree,C.,virginicus,Oleacea,7,Shade,MeJA,7/30/2019,0.912,,,
442,WhiteFringeTree,C.,virginicus,Oleacea,8,Sun,MeJA,7/30/2019,0.548,,,
443,WhiteFringeTree,C.,virginicus,Oleacea,4,Sun,MeJA,7/30/2019,0.567,,,
444,WhiteFringeTree,C.,virginicus,Oleacea,3,Shade,Control,7/30/2019,0.752,,,
445,WhiteFringeTree,C.,virginicus,Oleacea,7,Shade,Control,7/30/2019,0.794,,,
447,WhiteFringeTree,C.,virginicus,Oleacea,7,Shade,Control,7/30/2019,0.6955,,,
448,WhiteFringeTree,C.,virginicus,Oleacea,1,Sun,Control,7/30/2019,0.6425,,,
449,WhiteFringeTree,C.,virginicus,Oleacea,1,Sun,MeJA,7/30/2019,0.4685,,,
450,WhiteFringeTree,C.,virginicus,Oleacea,8,Sun,MeJA,7/30/2019,0.5155,,,
451,WhiteFringeTree,C.,virginicus,Oleacea,4,Sun,Control,7/30/2019,NA,,,
452,WhiteFringeTree,C.,virginicus,Oleacea,7,Shade,MeJA,7/30/2019,0.7645,,,
454,WhiteFringeTree,C.,virginicus,Oleacea,6,Shade,MeJA,7/30/2019,0.6215,,,
455,WhiteFringeTree,C.,virginicus,Oleacea,5,Sun,MeJA,7/30/2019,0.521,,,
456,WhiteFringeTree,C.,virginicus,Oleacea,3,Shade,Control,7/30/2019,0.845,,,
457,WhiteFringeTree,C.,virginicus,Oleacea,8,Sun,Control,7/30/2019,0.749,,,
458,WhiteFringeTree,C.,virginicus,Oleacea,5,Sun,MeJA,7/30/2019,0.3985,,,
459,WhiteFringeTree,C.,virginicus,Oleacea,2,Shade,Control,7/30/2019,0.7755,,,
460,WhiteFringeTree,C.,virginicus,Oleacea,1,Sun,Control,7/30/2019,0.4335,,,
461,WhiteFringeTree,C.,virginicus,Oleacea,5,Sun,Control,7/30/2019,0.655,,,
462,WhiteFringeTree,C.,virginicus,Oleacea,8,Sun,Control,7/30/2019,0.3405,,,
