ID_Number,Species,Light,Treatment,Date,Length
401,F. nigra,Shade,Control,4/13/19,0
402,F. nigra,Sun,MeJA,4/13/19,0
403,F. nigra,Shade,Control,4/13/19,0
404,F. nigra,Shade,MeJA,4/13/19,0
405,F. nigra,Shade,MeJA,4/13/19,0
406,F. nigra,Shade,Control,4/13/19,0
407,F. nigra,Sun,MeJA,4/13/19,0
408,F. nigra,Sun,Control,4/13/19,0
409,F. nigra,Shade,MeJA,4/13/19,0
410,F. nigra,Shade,MeJA,4/13/19,0
411,F. nigra,Shade,MeJA,4/13/19,0
412,F. nigra,Sun,Control,4/13/19,0
413,F. nigra,Sun,Control,4/13/19,0
414,F. nigra,Sun,Control,4/13/19,0
415,F. nigra,Sun,MeJA,4/13/19,0
416,F. nigra,Shade,MeJA,4/13/19,0
417,F. nigra,Sun,Control,4/13/19,0
418,F. nigra,Shade,Control,4/13/19,0
419,F. nigra,Sun,Control,4/13/19,0
420,F. nigra,Shade,MeJA,4/13/19,0
421,F. nigra,Shade,Control,4/13/19,0
422,F. nigra,Shade,Control,4/13/19,0
423,F. nigra,Shade,Control,4/13/19,0
424,F. nigra,Sun,MeJA,4/13/19,0
425,F. nigra,Shade,MeJA,4/13/19,0
426,F. nigra,Shade,MeJA,4/13/19,0
427,F. nigra,Sun,MeJA,4/13/19,0
428,F. nigra,Sun,MeJA,4/13/19,0
429,F. nigra,Sun,Control,4/13/19,0
430,F. nigra,Sun,MeJA,4/13/19,0
431,F. nigra,Shade,Control,4/13/19,0
432,F. nigra,Sun,Control,4/13/19,0
433,C. virginicus,Shade,Control,4/13/19,0
434,C. virginicus,Sun,Control,4/13/19,0
435,C. virginicus,Shade,MeJA,4/13/19,0
436,C. virginicus,Shade,Control,4/13/19,0
437,C. virginicus,Shade,MeJA,4/13/19,0
438,C. virginicus,Shade,MeJA,4/13/19,0
439,C. virginicus,Sun,MeJA,4/13/19,0
440,C. virginicus,Shade,MeJA,4/13/19,0
441,C. virginicus,Shade,MeJA,4/13/19,0
442,C. virginicus,Sun,MeJA,4/13/19,0
443,C. virginicus,Sun,MeJA,4/13/19,0
444,C. virginicus,Shade,Control,4/13/19,0
445,C. virginicus,Shade,Control,4/13/19,0
446,C. virginicus,Shade,Control,4/13/19,0
447,C. virginicus,Shade,Control,4/13/19,0
448,C. virginicus,Sun,Control,4/13/19,0
449,C. virginicus,Sun,MeJA,4/13/19,0
450,C. virginicus,Sun,MeJA,4/13/19,0
451,C. virginicus,Sun,Control,4/13/19,0
452,C. virginicus,Shade,MeJA,4/13/19,0
453,C. virginicus,Sun,Control,4/13/19,0
454,C. virginicus,Shade,MeJA,4/13/19,0
455,C. virginicus,Sun,MeJA,4/13/19,0
456,C. virginicus,Shade,Control,4/13/19,0
457,C. virginicus,Sun,Control,4/13/19,0
458,C. virginicus,Sun,MeJA,4/13/19,0
459,C. virginicus,Shade,Control,4/13/19,0
460,C. virginicus,Sun,Control,4/13/19,0
461,C. virginicus,Sun,Control,4/13/19,0
462,C. virginicus,Sun,Control,4/13/19,0
401,F. nigra,Shade,Control,4/27/19,92.42
402,F. nigra,Sun,MeJA,4/27/19,72.09
403,F. nigra,Shade,Control,4/27/19,122.46
404,F. nigra,Shade,MeJA,4/27/19,83.23
405,F. nigra,Shade,MeJA,4/27/19,40.59
406,F. nigra,Shade,Control,4/27/19,132.99
407,F. nigra,Sun,MeJA,4/27/19,22.38
408,F. nigra,Sun,Control,4/27/19,37.94
409,F. nigra,Shade,MeJA,4/27/19,71.16
410,F. nigra,Shade,MeJA,4/27/19,10.63
411,F. nigra,Shade,MeJA,4/27/19,54.89
412,F. nigra,Sun,Control,4/27/19,38.86
413,F. nigra,Sun,Control,4/27/19,25.06
414,F. nigra,Sun,Control,4/27/19,105.45
415,F. nigra,Sun,MeJA,4/27/19,130.3
416,F. nigra,Shade,MeJA,4/27/19,12.36
417,F. nigra,Sun,Control,4/27/19,105.78
418,F. nigra,Shade,Control,4/27/19,18.34
419,F. nigra,Sun,Control,4/27/19,62.89
420,F. nigra,Shade,MeJA,4/27/19,15.94
421,F. nigra,Shade,Control,4/27/19,38.01
422,F. nigra,Shade,Control,4/27/19,46.69
423,F. nigra,Shade,Control,4/27/19,46.79
424,F. nigra,Sun,MeJA,4/27/19,27.96
425,F. nigra,Shade,MeJA,4/27/19,83.14
426,F. nigra,Shade,MeJA,4/27/19,0
427,F. nigra,Sun,MeJA,4/27/19,42.8
428,F. nigra,Sun,MeJA,4/27/19,31.98
429,F. nigra,Sun,Control,4/27/19,18.9
430,F. nigra,Sun,MeJA,4/27/19,20.05
431,F. nigra,Shade,Control,4/27/19,42.98
432,F. nigra,Sun,Control,4/27/19,54.11
433,C. virginicus,Shade,Control,4/27/19,32.89
434,C. virginicus,Sun,Control,4/27/19,75.12
435,C. virginicus,Shade,MeJA,4/27/19,30.11
436,C. virginicus,Shade,Control,4/27/19,77.22
437,C. virginicus,Shade,MeJA,4/27/19,58.02
438,C. virginicus,Shade,MeJA,4/27/19,73.95
439,C. virginicus,Sun,MeJA,4/27/19,78.5
440,C. virginicus,Shade,MeJA,4/27/19,43.61
441,C. virginicus,Shade,MeJA,4/27/19,19.3
442,C. virginicus,Sun,MeJA,4/27/19,0
443,C. virginicus,Sun,MeJA,4/27/19,18.75
444,C. virginicus,Shade,Control,4/27/19,87.96
445,C. virginicus,Shade,Control,4/27/19,47.63
446,C. virginicus,Shade,Control,4/27/19,0
447,C. virginicus,Shade,Control,4/27/19,18.26
448,C. virginicus,Sun,Control,4/27/19,101.79
449,C. virginicus,Sun,MeJA,4/27/19,0
450,C. virginicus,Sun,MeJA,4/27/19,121.52
451,C. virginicus,Sun,Control,4/27/19,165.59
452,C. virginicus,Shade,MeJA,4/27/19,144.94
453,C. virginicus,Sun,Control,4/27/19,0
454,C. virginicus,Shade,MeJA,4/27/19,21.8
455,C. virginicus,Sun,MeJA,4/27/19,40.16
456,C. virginicus,Shade,Control,4/27/19,46.45
457,C. virginicus,Sun,Control,4/27/19,118.8
458,C. virginicus,Sun,MeJA,4/27/19,61.78
459,C. virginicus,Shade,Control,4/27/19,82.26
460,C. virginicus,Sun,Control,4/27/19,0
461,C. virginicus,Sun,Control,4/27/19,0
462,C. virginicus,Sun,Control,4/27/19,0
401,F. nigra,Shade,Control,5/14/19,114.68
402,F. nigra,Sun,MeJA,5/14/19,74.92
403,F. nigra,Shade,Control,5/14/19,134.36
404,F. nigra,Shade,MeJA,5/14/19,111.81
405,F. nigra,Shade,MeJA,5/14/19,89.26
406,F. nigra,Shade,Control,5/14/19,231.5
407,F. nigra,Sun,MeJA,5/14/19,25.3
408,F. nigra,Sun,Control,5/14/19,46.92
409,F. nigra,Shade,MeJA,5/14/19,112.66
410,F. nigra,Shade,MeJA,5/14/19,11.2
411,F. nigra,Shade,MeJA,5/14/19,107.4
412,F. nigra,Sun,Control,5/14/19,47.25
413,F. nigra,Sun,Control,5/14/19,46.2
414,F. nigra,Sun,Control,5/14/19,119.81
415,F. nigra,Sun,MeJA,5/14/19,188
416,F. nigra,Shade,MeJA,5/14/19,14.02
417,F. nigra,Sun,Control,5/14/19,119.11
418,F. nigra,Shade,Control,5/14/19,44.66
419,F. nigra,Sun,Control,5/14/19,68.35
420,F. nigra,Shade,MeJA,5/14/19,28.91
421,F. nigra,Shade,Control,5/14/19,72.79
422,F. nigra,Shade,Control,5/14/19,111
423,F. nigra,Shade,Control,5/14/19,51.45
424,F. nigra,Sun,MeJA,5/14/19,33.27
425,F. nigra,Shade,MeJA,5/14/19,159
426,F. nigra,Shade,MeJA,5/14/19,10.56
427,F. nigra,Sun,MeJA,5/14/19,81.22
428,F. nigra,Sun,MeJA,5/14/19,62.13
429,F. nigra,Sun,Control,5/14/19,100.42
430,F. nigra,Sun,MeJA,5/14/19,22.23
431,F. nigra,Shade,Control,5/14/19,180.5
432,F. nigra,Sun,Control,5/14/19,75.36
433,C. virginicus,Shade,Control,5/14/19,78.4
434,C. virginicus,Sun,Control,5/14/19,224
435,C. virginicus,Shade,MeJA,5/14/19,49.1
436,C. virginicus,Shade,Control,5/14/19,155.62
437,C. virginicus,Shade,MeJA,5/14/19,208.96
438,C. virginicus,Shade,MeJA,5/14/19,350.5
439,C. virginicus,Sun,MeJA,5/14/19,280.68
440,C. virginicus,Shade,MeJA,5/14/19,226.29
441,C. virginicus,Shade,MeJA,5/14/19,37.26
442,C. virginicus,Sun,MeJA,5/14/19,0
443,C. virginicus,Sun,MeJA,5/14/19,197.52
444,C. virginicus,Shade,Control,5/14/19,351.93
445,C. virginicus,Shade,Control,5/14/19,404.74
446,C. virginicus,Shade,Control,5/14/19,0
447,C. virginicus,Shade,Control,5/14/19,24.28
448,C. virginicus,Sun,Control,5/14/19,437.16
449,C. virginicus,Sun,MeJA,5/14/19,260
450,C. virginicus,Sun,MeJA,5/14/19,601
451,C. virginicus,Sun,Control,5/14/19,984
452,C. virginicus,Shade,MeJA,5/14/19,176.23
