"ID_Number","Common_Name","Genus","Species","Family","Block","Light","Treatment","Bud_growth","Leaf_biomass","PhEf_052519","PhEf_061819","Eggs","Hatch_rate","Avg_gall_w","POX_Gua","POX_Ole","PPO_Caf","PPO_Cat","BG","CHI","Protein","Phenolics","TI","Carbohydrates","Lignin","Oleuropein"
401,"BlackAsh","Fraxinus","F. nigra","Oleacea",2,"Shade","Control",59.5,27.8,0.847,0.7665,4,0.5,1.86,1.024724028,1.869397278,6.466042896,0.83559393,2.35012834,1.274306617,1.269954973,7.252096774,0,20.97265625,0.866537633,4.38
402,"BlackAsh","Fraxinus","F. nigra","Oleacea",5,"Sun","MeJA",79.6,24.8,0.432,0.442,6,0.833,2.018,0.781925918,0.224994095,0.203206532,0.701479234,1.981373492,1.182746211,1.879860827,6.700806452,4.26280961,15.34765625,0.795720935,2.51
403,"BlackAsh","Fraxinus","F. nigra","Oleacea",3,"Shade","Control",136,30,0.8395,0.7885,5,0.8,2.075,2.242271688,3.030360506,136.9238536,15.38586289,4.999730975,2.742956164,0.036839951,6.329516129,0,14.37109375,0.753447099,0.84
404,"BlackAsh","Fraxinus","F. nigra","Oleacea",2,"Shade","MeJA",169.93,9,0.7685,0.7795,4,0,1.135,1.68196695,3.086465971,136.9238536,35.35087027,2.768275136,3.398748202,0.002046664,6.488387097,0,14.5859375,0.59255994,0.53
405,"BlackAsh","Fraxinus","F. nigra","Oleacea",4,"Sun","MeJA",95.67,23.4,0.478,0.562,5,0.4,1.135,1.899073404,3.086465971,91.68276909,10.94227581,6.776091337,2.172640433,0.126893164,6.919354839,0,16.1484375,0.695854698,0
406,"BlackAsh","Fraxinus","F. nigra","Oleacea",7,"Shade","Control",238,34.6,0.82,0.82,5,0,1.16,2.456695026,1.350111157,0.993119298,24.05895789,8.447862317,2.164621011,0.136103152,6.322096774,14.23155366,20.85546875,0.753447099,0
407,"BlackAsh","Fraxinus","F. nigra","Oleacea",1,"Sun","MeJA",27.26,34.5,0.337,0.686,5,0.6,1.426666667,2.226772558,2.813708759,163.9164964,35.35087027,9.428631948,2.430026945,0.075726566,7.333225806,23.36118962,18.94140625,0.714686231,0
408,"BlackAsh","Fraxinus","F. nigra","Oleacea",5,"Sun","Control",113.44,21.2,0.536,0.6035,5,0.8,2.3525,1.750065885,2.17425009,28.1619636,6.99048947,4.737990014,1.820877112,0.489152681,7.895967742,9.95693206,23.35546875,0.753447099,6.23
409,"BlackAsh","Fraxinus","F. nigra","Oleacea",3,"Shade","MeJA",118.25,25.5,0.8025,0.865,5,0.6,1.696666667,2.034877659,2.568631528,136.9238536,15.38586289,5.238079475,2.570041888,0.099263201,6.593870968,17.09230238,11.03125,0.572900833,0
410,"BlackAsh","Fraxinus","F. nigra","Oleacea",6,"Shade","MeJA",155,36.3,0.767,0.726,5,0.2,1.03,1.174687191,0.497544236,9.364881719,0.701479234,1.501988657,0.88278132,3.10274253,7.005806452,5.876317239,20.73828125,0.839160131,0
411,"BlackAsh","Fraxinus","F. nigra","Oleacea",7,"Shade","MeJA",119,9.9,0.834,0.777,4,0.5,1.16,2.696518367,2.234547716,34.25435,15.38586289,2.163385791,3.398748202,0.014326648,7.182580645,10.59349827,11.109375,0.735882262,0
412,"BlackAsh","Fraxinus","F. nigra","Oleacea",5,"Sun","Control",56.22,38.7,0.4765,0.564,5,0.4,1.185,1.413072292,0.410545935,0.961714124,4.612671342,2.72676942,1.362822715,1.415268113,7.063548387,2.834092343,19.3515625,0.739277004,0
413,"BlackAsh","Fraxinus","F. nigra","Oleacea",1,"Sun","Control",49.44,38.5,0.479,0.725,4,1,2.532,2.17666992,2.568631528,80.85509354,46.15818088,7.863265817,2.248300169,0.132009824,7.450806452,0,17.4765625,0.797595644,0
414,"BlackAsh","Fraxinus","F. nigra","Oleacea",8,"Sun","Control",122,32.1,0,0.6075,5,0.6,1.745,0.269099977,1.570098427,6.416226814,1.445734107,1.451916612,1.014095521,1.852230864,8.072741935,0,13.12109375,0.778020983,0
415,"BlackAsh","Fraxinus","F. nigra","Oleacea",8,"Sun","MeJA",239.67,25.4,0.2385,0.534,5,0.6,2.016666667,0.218928762,3.030360506,16.60208011,1.667882258,2.037744248,1.291596791,0.888252149,7.437580645,0,16.5390625,0.749579457,0
416,"BlackAsh","Fraxinus","F. nigra","Oleacea",6,"Shade","MeJA",16.22,24.3,0.719,0.857,5,0.8,1.826666667,1.555130161,0.902520948,2.095204332,7.169900073,4.109677849,1.890835633,0.464592714,7.992096774,10.64562174,21.890625,0.762161961,0
417,"BlackAsh","Fraxinus","F. nigra","Oleacea",1,"Sun","Control",125.62,49.2,0.4705,0.672,5,0.8,1.803333333,1.297651883,1.614849868,3.26838685,7.726753906,2.768275136,1.456905041,0.965002047,7.183225806,0,15.9921875,0.735882262,2.33
418,"BlackAsh","Fraxinus","F. nigra","Oleacea",6,"Shade","Control",52,39.7,0.702,0.735,4,0.25,2.01,1.621785682,0.826960934,0.935062984,1.741482946,2.881909754,1.338840088,1.232091691,6.36516129,3.205203451,13.4140625,0.834481804,0.23
419,"BlackAsh","Fraxinus","F. nigra","Oleacea",8,"Sun","Control",74,26.7,0.467,0.662,5,0.8,2.6175,0.965590683,0.661884972,3.270892184,1.090685172,1.451916612,0.881602382,4.154727794,7.943548387,0.624402594,24.29296875,0.819298352,7.04
